
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
16,418418;0,0078;-0,1476;0,9987;199,3962;8,4562;0,8352;
16,521094;-0,0010;-0,2482;0,9811;197,5715;14,5789;-1,3975;
16,619759;-0,0195;-0,2678;0,9733;200,7771;14,8138;-0,2286;
16,720077;0,0010;-0,2639;0,9811;200,7481;15,0523;0,0574;
16,820689;0,0078;-0,3792;0,8688;200,5673;23,5787;0,5151;
16,921226;-0,0127;-0,4046;0,8971;199,8039;24,3882;-1,6286;
17,022767;-0,0577;-0,4007;0,9381;200,0300;23,0874;-3,5171;
17,124316;-0,0371;-0,4329;0,9108;202,0319;25,4037;-2,3345;
17,225397;-0,0352;-0,4544;0,9098;201,6830;26,0723;-3,0221;
17,325741;-0,0909;-0,4515;0,8990;198,9580;26,5478;-5,7720;
17,427493;-0,0713;-0,5580;0,8228;199,5753;34,2863;-5,8730;
17,527453;-0,0098;-0,4632;0,9254;203,9895;26,5879;-0,6050;
17,628492;-0,0645;-0,4495;0,9127;202,0226;26,5681;-4,5124;
17,730083;-0,0909;-0,4945;0,8746;202,4657;29,9031;-5,0607;
17,830453;-0,1124;-0,4935;0,8834;202,3279;28,9935;-7,2495;
17,932305;-0,1094;-0,5277;0,8365;202,2509;31,7367;-6,9855;
18,032440;-0,0870;-0,5238;0,8727;202,5920;30,0593;-5,1033;
18,133925;-0,1173;-0,4466;0,9293;201,2426;25,4904;-7,1919;
18,234044;-0,1603;-0,4173;0,8815;200,0829;25,1512;-10,5022;
18,335251;-0,1759;-0,3567;0,9049;199,8262;21,1528;-11,0000;
18,436038;-0,1954;-0,2990;0,9215;198,4629;17,6494;-12,4709;
18,536755;-0,2785;-0,3235;0,8785;197,3737;20,6253;-18,0605;
18,637656;-0,3098;-0,3078;0,9313;198,1662;17,4125;-18,3993;
18,736862;-0,3039;-0,2179;0,9391;198,9204;12,7970;-18,0434;
18,838918;-0,3332;-0,1769;0,9254;197,6451;10,1948;-19,8036;
18,939953;-0,4759;-0,1642;0,8580;196,8284;9,4994;-29,0158;
19,040038;-0,5277;-0,1739;0,8394;197,7251;9,9498;-32,1549;
19,141351;-0,6743;-0,1397;0,8316;198,9997;7,4363;-39,0353;
19,242400;-0,7300;-0,1026;0,7456;198,4263;5,2505;-44,1642;
19,343267;-0,7398;-0,0889;0,7583;199,6724;4,7985;-44,2898;
19,444131;-0,7916;-0,0899;0,7026;200,4496;5,2911;-47,9651;
19,544955;-0,8277;-0,0489;0,7222;200,3743;2,6433;-48,8152;
19,646089;-0,8795;-0,0489;0,6127;199,2742;2,6100;-55,1363;
19,747140;-0,8541;-0,0479;0,6078;201,5191;2,8686;-54,1160;
19,847615;-0,8981;0,0137;0,6215;201,3611;-0,7177;-55,3145;
19,947982;-0,8619;0,0029;0,5541;200,8184;-0,1643;-57,2645;
20,049168;-0,8746;0,0235;0,4994;201,5968;-1,3340;-60,2759;
20,150772;-0,8346;-0,0254;0,4065;201,8884;1,5676;-64,0289;
20,251791;-0,9186;0,0362;0,4427;203,3077;-2,4142;-63,0169;
20,352867;-0,9391;0,0528;0,4055;203,3134;-2,2580;-66,8301;
20,454166;-1,0017;0,0215;0,3860;203,0505;-0,6750;-69,1340;
20,554912;-0,9538;0,0381;0,2990;203,8408;-2,2363;-73,0325;
20,654787;-0,9587;0,0430;0,2404;203,2404;-2,4930;-75,9231;
20,755457;-0,9987;0,0352;0,2091;204,4167;-1,9753;-78,1749;
20,855244;-0,9499;0,0039;0,1358;205,3571;-0,6973;-81,8370;
20,956610;-0,9381;0,0772;0,1603;204,6906;-4,6376;-80,3053;
21,057875;-0,9899;0,0176;0,1612;204,4565;-0,6751;-79,9370;
21,158880;-0,9899;0,0166;0,1808;205,6795;-0,9456;-79,6503;
21,259296;-0,9792;0,0332;0,2042;206,4650;-2,8101;-78,1492;
21,360138;-0,9694;0,0156;0,2463;205,4139;-0,8956;-75,7463;
21,460601;-0,8893;0,0596;0,3645;205,9989;-3,5491;-67,7117;
21,562237;-0,8590;0,0723;0,4515;207,0443;-4,4128;-62,1606;
21,661790;-0,7319;0,0948;0,5062;204,8490;-6,0798;-55,3328;
21,763188;-0,7515;0,1222;0,5814;205,6508;-7,3522;-51,9734;
21,863731;-0,6938;0,1036;0,6547;203,6848;-6,1970;-46,6604;
21,964675;-0,6714;0,0948;0,7202;203,7534;-5,4991;-42,9891;
22,065763;-0,5717;0,1573;0,8140;203,8813;-9,1982;-35,9366;
22,166420;-0,4827;0,1583;0,8326;204,5995;-9,3410;-30,1059;
22,267806;-0,4525;0,2033;0,8981;204,9811;-11,8746;-27,4551;
22,368190;-0,3909;0,2316;0,9274;204,2620;-12,9601;-22,8551;
22,468640;-0,3205;0,2121;0,9284;203,4881;-12,1839;-19,0479;
22,569655;-0,2795;0,1994;0,9303;203,8480;-11,6850;-17,8291;
22,670283;-0,2111;0,2130;0,9538;203,4735;-12,3027;-12,4792;
22,771067;-0,1945;0,2169;0,9616;204,1780;-12,8318;-10,4639;
22,872211;-0,1241;0,2121;0,9929;202,9088;-11,9659;-7,1254;
22,972300;-0,0889;0,2013;0,9616;203,4908;-11,7754;-5,2830;
23,073888;-0,0078;0,2453;0,9811;202,1387;-14,0610;-1,0294;
23,174272;0,0694;0,2619;0,9831;201,5063;-14,8818;4,0368;
23,275076;0,0870;0,2257;0,9684;202,2050;-13,2711;5,6935;
23,375352;0,1612;0,2345;0,9362;201,7817;-13,8677;9,7717;
23,476821;0,2414;0,2326;0,9401;201,8842;-13,4756;14,4000;
23,576698;0,3068;0,2697;0,9401;200,3630;-15,3669;16,7750;
23,677880;0,3000;0,2306;0,9069;201,3033;-13,5737;18,3051;
23,778531;0,4095;0,2189;0,8990;199,7041;-12,5644;23,4391;
23,879591;0,4603;0,2541;0,8903;199,6429;-14,2262;27,3391;
23,980168;0,4388;0,1954;0,8551;200,2792;-11,4946;27,1647;
24,080680;0,5414;0,1906;0,8394;198,4973;-11,1104;31,9284;
24,181390;0,5971;0,2052;0,8033;198,1863;-11,5870;36,6234;
24,282065;0,6176;0,2033;0,7788;199,4736;-11,3722;38,8069;
24,382716;0,6381;0,1710;0,7329;198,6992;-9,9808;41,0440;
24,483829;0,6831;0,2336;0,7525;198,7153;-12,9428;42,2330;
24,584485;0,6606;0,2140;0,7007;198,1308;-12,7040;42,8703;
24,685367;0,7065;0,1544;0,6411;197,3059;-9,1933;47,7818;
24,786555;0,7212;0,1739;0,6948;197,7430;-9,7688;46,1636;
24,887302;0,6987;0,1906;0,7046;197,7003;-10,8700;44,7603;
24,988360;0,8336;0,2111;0,7632;197,1326;-10,5789;47,5236;
25,088932;0,6372;0,1808;0,7769;199,0965;-10,1522;40,7216;
25,190015;0,5697;0,1710;0,7925;200,2946;-9,9380;35,7108;
25,290392;0,6264;0,1739;0,8218;199,1176;-9,4033;36,4749;
25,391379;0,5492;0,2160;0,8179;199,9485;-12,3642;33,8795;
25,492114;0,5130;0,2717;0,8228;199,6436;-15,6511;31,9445;
25,593122;0,4857;0,2951;0,8502;199,1472;-16,4237;30,9543;
25,692737;0,3948;0,3303;0,8453;201,6150;-19,4960;25,0351;
25,794723;0,3049;0,3801;0,8854;202,2774;-22,1545;18,8097;
25,894401;0,2502;0,3831;0,8443;203,1505;-23,5092;16,5048;
25,995447;0,1456;0,4075;0,8424;205,1043;-25,4866;9,8071;
26,096270;0,1055;0,5316;0,8727;206,0024;-31,6983;5,6094;
