time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
13,871172;0,1564;0,2101;0,5560;55,74809667;48,74288667;0,35052583;190,80000000;
13,971701;0,2726;0,2531;0,7759;55,74809667;48,74288667;0,35052583;190,80000000;
14,072191;0,4358;-0,1134;1,8558;55,74809667;48,74288667;0,35052583;190,80000000;
14,173258;0,2199;0,4368;0,8785;55,74809667;48,74288667;0,35052583;190,80000000;
14,273424;-0,0274;0,3440;0,4798;55,74809667;48,74288667;0,35052583;190,80000000;
14,373648;-0,2736;0,2883;0,7349;55,74809667;48,74288667;0,35052583;190,80000000;
14,474806;-0,3235;0,1456;1,6163;55,74809667;48,74288667;0,35052583;190,80000000;
14,576105;-0,1163;0,1192;1,2704;55,74809667;48,74288667;0,35052583;190,80000000;
14,676573;0,1779;0,1808;0,8189;55,74809667;48,74288667;0,35052583;190,80000000;
14,777324;0,2511;0,2199;0,6274;55,74809667;48,74288667;0,35052583;190,80000000;
14,877792;0,5472;0,2814;0,8697;55,74809667;48,74288667;0,35052583;190,80000000;
14,977957;0,6518;0,1222;1,4228;55,74809667;48,74288667;0,35052583;190,80000000;
15,079224;0,1124;0,3801;1,0105;55,74809667;48,74288667;0,35052583;190,80000000;
15,179682;-0,0186;0,2678;0,7544;55,74809667;48,74288667;0,35052583;190,80000000;
15,281007;-0,2726;0,2404;0,9557;55,74809667;48,74288667;0,35052583;190,80000000;
15,382813;-0,2081;0,0322;1,2714;55,74809667;48,74288667;0,35052583;191,10000000;
15,481166;0,2629;-0,1564;1,9193;55,74809833;48,74290833;0,16677000;191,10000000;
15,581854;0,2922;0,1534;1,0144;55,74809833;48,74290833;0,16677000;191,10000000;
15,683403;-0,0303;0,0029;0,7163;55,74809833;48,74290833;0,16677000;191,10000000;
15,783018;0,1876;0,2160;0,6880;55,74809833;48,74290833;0,16677000;191,10000000;
15,883310;0,3147;0,3440;1,0065;55,74809833;48,74290833;0,16677000;191,10000000;
15,984075;0,3411;0,3479;1,0495;55,74809833;48,74290833;0,16677000;191,10000000;
16,084221;0,2697;0,3098;1,0886;55,74809833;48,74290833;0,16677000;191,10000000;
16,185417;0,2443;0,2238;0,8170;55,74809833;48,74290833;0,16677000;191,10000000;
16,285916;-0,0967;0,3010;0,6166;55,74809833;48,74290833;0,16677000;191,10000000;
16,386295;0,0088;0,5365;0,6391;55,74809833;48,74290833;0,16677000;191,20000000;
16,493337;-0,0831;0,4827;1,0877;55,74809333;48,74295000;0,56310612;191,20000000;
16,588214;0,0274;0,1847;1,4307;55,74809333;48,74295000;0,56310612;191,20000000;
16,688725;0,1720;0,2707;1,0740;55,74809333;48,74295000;0,56310612;191,20000000;
16,788991;0,1583;0,2287;0,6948;55,74809333;48,74295000;0,56310612;191,20000000;
16,889924;0,3313;0,4525;0,6069;55,74809333;48,74295000;0,56310612;191,20000000;
16,990340;0,2580;0,3733;1,0818;55,74809333;48,74295000;0,56310612;191,20000000;
17,091249;0,1779;0,1544;1,2254;55,74809333;48,74295000;0,56310612;191,20000000;
17,191864;0,4495;0,4007;0,8131;55,74809333;48,74295000;0,56310612;191,20000000;
17,292255;-0,0772;0,3381;0,4955;55,74809333;48,74295000;0,56310612;191,20000000;
17,392210;-0,0909;0,3811;0,9245;55,74809333;48,74295000;0,56310612;191,20000000;
17,509448;0,0997;0,1954;1,5978;55,74808833;48,74298167;0,50854558;191,20000000;
